Itération 687, nodeeco: 472
Itération 686, nodeeco: 466
Itération 685, nodeeco: 479
Itération 684, nodeeco: 473
Itération 683, nodeeco: 449
Itération 682, nodeeco: 465
Itération 681, nodeeco: 444
Itération 680, nodeeco: 459
Itération 679, nodeeco: 475
Itération 678, nodeeco: 459
Itération 677, nodeeco: 453
Itération 676, nodeeco: 451
Itération 675, nodeeco: 461
Itération 674, nodeeco: 440
Itération 673, nodeeco: 429
Itération 672, nodeeco: 445
Itération 671, nodeeco: 486
Itération 670, nodeeco: 463
Itération 669, nodeeco: 449
Itération 668, nodeeco: 457
Itération 667, nodeeco: 468
Itération 666, nodeeco: 466
Itération 665, nodeeco: 486
Itération 664, nodeeco: 435
Itération 663, nodeeco: 467
Itération 662, nodeeco: 437
Itération 661, nodeeco: 446
Itération 660, nodeeco: 444
Itération 659, nodeeco: 423
Itération 658, nodeeco: 410
Itération 657, nodeeco: 431
Itération 656, nodeeco: 435
Itération 655, nodeeco: 438
Itération 654, nodeeco: 443
Itération 653, nodeeco: 435
Itération 652, nodeeco: 418
Itération 651, nodeeco: 447
Itération 650, nodeeco: 443
Itération 649, nodeeco: 436
Itération 648, nodeeco: 421
Itération 647, nodeeco: 449
Itération 646, nodeeco: 419
Itération 645, nodeeco: 447
Itération 644, nodeeco: 451
Itération 643, nodeeco: 441
Itération 642, nodeeco: 448
Itération 641, nodeeco: 441
Itération 640, nodeeco: 443
Itération 639, nodeeco: 426
Itération 638, nodeeco: 420
Itération 637, nodeeco: 437
Itération 636, nodeeco: 432
Itération 635, nodeeco: 419
Itération 634, nodeeco: 439
Itération 633, nodeeco: 399
Itération 632, nodeeco: 445
Itération 631, nodeeco: 425
Itération 630, nodeeco: 401
Itération 629, nodeeco: 430
Itération 628, nodeeco: 422
Itération 627, nodeeco: 399
Itération 626, nodeeco: 425
Itération 625, nodeeco: 431
Itération 624, nodeeco: 404
Itération 623, nodeeco: 426
Itération 622, nodeeco: 429
Itération 621, nodeeco: 415
Itération 620, nodeeco: 445
Itération 619, nodeeco: 434
Itération 618, nodeeco: 423
Itération 617, nodeeco: 397
Itération 616, nodeeco: 400
Itération 615, nodeeco: 414
Itération 614, nodeeco: 417
Itération 613, nodeeco: 412
Itération 612, nodeeco: 404
Itération 611, nodeeco: 438
Itération 610, nodeeco: 432
Itération 609, nodeeco: 389
Itération 608, nodeeco: 424
Itération 607, nodeeco: 391
Itération 606, nodeeco: 387
Itération 605, nodeeco: 428
Itération 604, nodeeco: 425
Itération 603, nodeeco: 385
Itération 602, nodeeco: 408
Itération 601, nodeeco: 416
Itération 600, nodeeco: 415
Itération 599, nodeeco: 403
Itération 598, nodeeco: 416
Itération 597, nodeeco: 399
Itération 596, nodeeco: 390
Itération 595, nodeeco: 426
Itération 594, nodeeco: 425
Itération 593, nodeeco: 405
Itération 592, nodeeco: 382
Itération 591, nodeeco: 417
Itération 590, nodeeco: 425
Itération 589, nodeeco: 398
Itération 588, nodeeco: 417
Itération 587, nodeeco: 401
Itération 586, nodeeco: 417
Itération 585, nodeeco: 378
Itération 584, nodeeco: 400
Itération 583, nodeeco: 386
Itération 582, nodeeco: 382
Itération 581, nodeeco: 393
Itération 580, nodeeco: 373
Itération 579, nodeeco: 384
Itération 578, nodeeco: 388
Itération 577, nodeeco: 383
Itération 576, nodeeco: 383
Itération 575, nodeeco: 404
Itération 574, nodeeco: 395
Itération 573, nodeeco: 397
Itération 572, nodeeco: 400
Itération 571, nodeeco: 382
Itération 570, nodeeco: 407
Itération 569, nodeeco: 401
Itération 568, nodeeco: 382
Itération 567, nodeeco: 375
Itération 566, nodeeco: 392
Itération 565, nodeeco: 412
Itération 564, nodeeco: 382
Itération 563, nodeeco: 377
Itération 562, nodeeco: 361
Itération 561, nodeeco: 391
Itération 560, nodeeco: 373
Itération 559, nodeeco: 374
Itération 558, nodeeco: 382
Itération 557, nodeeco: 361
Itération 556, nodeeco: 392
Itération 555, nodeeco: 376
Itération 554, nodeeco: 367
Itération 553, nodeeco: 369
Itération 552, nodeeco: 397
Itération 551, nodeeco: 360
Itération 550, nodeeco: 368
Itération 549, nodeeco: 395
Itération 548, nodeeco: 377
Itération 547, nodeeco: 355
Itération 546, nodeeco: 384
Itération 545, nodeeco: 369
Itération 544, nodeeco: 363
Itération 543, nodeeco: 375
Itération 542, nodeeco: 363
Itération 541, nodeeco: 358
Itération 540, nodeeco: 351
Itération 539, nodeeco: 364
Itération 538, nodeeco: 368
Itération 537, nodeeco: 365
Itération 536, nodeeco: 356
Itération 535, nodeeco: 356
Itération 534, nodeeco: 343
Itération 533, nodeeco: 373
Itération 532, nodeeco: 357
Itération 531, nodeeco: 360
Itération 530, nodeeco: 368
Itération 529, nodeeco: 355
Itération 528, nodeeco: 349
Itération 527, nodeeco: 345
Itération 526, nodeeco: 353
Itération 525, nodeeco: 364
Itération 524, nodeeco: 352
Itération 523, nodeeco: 325
Itération 522, nodeeco: 349
Itération 521, nodeeco: 342
Itération 520, nodeeco: 355
Itération 519, nodeeco: 363
Itération 518, nodeeco: 349
Itération 517, nodeeco: 346
Itération 516, nodeeco: 356
Itération 515, nodeeco: 369
Itération 514, nodeeco: 344
Itération 513, nodeeco: 348
Itération 512, nodeeco: 343
Itération 511, nodeeco: 359
Itération 510, nodeeco: 353
Itération 509, nodeeco: 352
Itération 508, nodeeco: 351
Itération 507, nodeeco: 338
Itération 506, nodeeco: 336
Itération 505, nodeeco: 324
Itération 504, nodeeco: 336
Itération 503, nodeeco: 343
Itération 502, nodeeco: 324
Itération 501, nodeeco: 342
Itération 500, nodeeco: 333
Itération 499, nodeeco: 343
Itération 498, nodeeco: 315
Itération 497, nodeeco: 322
Itération 496, nodeeco: 327
Itération 495, nodeeco: 354
Itération 494, nodeeco: 330
Itération 493, nodeeco: 332
Itération 492, nodeeco: 347
Itération 491, nodeeco: 317
Itération 490, nodeeco: 318
Itération 489, nodeeco: 343
Itération 488, nodeeco: 334
Itération 487, nodeeco: 312
Itération 486, nodeeco: 334
Itération 485, nodeeco: 316
Itération 484, nodeeco: 343
Itération 483, nodeeco: 336
Itération 482, nodeeco: 323
